ID	subset	target_word	normFreq_SC	normFreq_RC	group	GS	baseline|rawFreq	baseline|adjFreq	LLR|freqCond1	LLR|freqCond2	LLR|freqCond3	LLR|freqCond4	LLR|freqCond5	LLR|freqCond6	LLR|freqCond7	LLR|freqCond8	OddsRatio|freqCond1	OddsRatio|freqCond2	OddsRatio|freqCond3	OddsRatio|freqCond4	OddsRatio|freqCond5	OddsRatio|freqCond6	OddsRatio|freqCond7	OddsRatio|freqCond8	DKL|freqCond1	DKL|freqCond2	DKL|freqCond3	DKL|freqCond4	DKL|freqCond5	DKL|freqCond6	DKL|freqCond7	DKL|freqCond8
economics_1	economics	dólar|NOUN	643.7027050094671	80.05873994809731	freq_key	{'ranking': '32.5', 'value': '0.5417'}	{'ranking': '6', 'value': '6931'}	{'ranking': '8', 'value': '4097.0826'}	{'ranking': '6', 'value': '13713.9863'}	{'ranking': '6', 'value': '14570.7602'}	{'ranking': '6', 'value': '11680.4485'}	{'ranking': '5', 'value': '9436.1601'}	{'ranking': '6', 'value': '13666.1563'}	{'ranking': '6', 'value': '14522.3444'}	{'ranking': '6', 'value': '11640.4619'}	{'ranking': '5', 'value': '9373.2931'}	{'ranking': '65', 'value': '8.0449'}	{'ranking': '65', 'value': '8.6875'}	{'ranking': '65', 'value': '6.6786'}	{'ranking': '49', 'value': '9.4567'}	{'ranking': '65', 'value': '8.009'}	{'ranking': '65', 'value': '8.6488'}	{'ranking': '65', 'value': '6.6524'}	{'ranking': '49', 'value': '9.3675'}	{'ranking': '65', 'value': '0.6069'}	{'ranking': '65', 'value': '0.6446'}	{'ranking': '65', 'value': '0.5164'}	{'ranking': '49', 'value': '0.633'}	{'ranking': '65', 'value': '0.6047'}	{'ranking': '65', 'value': '0.6424'}	{'ranking': '65', 'value': '0.5146'}	{'ranking': '49', 'value': '0.6287'}
economics_2	economics	sector|NOUN	1364.0256281162951	14.960255729756572	freq_key	{'ranking': '39.5', 'value': '0.4583'}	{'ranking': '2', 'value': '14687'}	{'ranking': '2', 'value': '11181.3789'}	{'ranking': '2', 'value': '61836.4945'}	{'ranking': '2', 'value': '63892.2662'}	{'ranking': '2', 'value': '56943.3407'}	{'ranking': '2', 'value': '55020.326'}	{'ranking': '2', 'value': '61716.8327'}	{'ranking': '2', 'value': '63772.1037'}	{'ranking': '2', 'value': '56839.8859'}	{'ranking': '2', 'value': '54821.0396'}	{'ranking': '18', 'value': '91.2998'}	{'ranking': '18', 'value': '98.7036'}	{'ranking': '18', 'value': '76.0175'}	{'ranking': '14', 'value': '150.7397'}	{'ranking': '18', 'value': '90.8425'}	{'ranking': '18', 'value': '98.2095'}	{'ranking': '18', 'value': '75.6769'}	{'ranking': '9', 'value': '149.1748'}	{'ranking': '18', 'value': '2.7129'}	{'ranking': '18', 'value': '2.802'}	{'ranking': '18', 'value': '2.4954'}	{'ranking': '14', 'value': '3.2137'}	{'ranking': '18', 'value': '2.7074'}	{'ranking': '18', 'value': '2.7964'}	{'ranking': '18', 'value': '2.4906'}	{'ranking': '9', 'value': '3.2016'}
economics_3	economics	euro|NOUN	3534.746061558262	16.704194111968196	freq_key	{'ranking': '32.5', 'value': '0.5417'}	{'ranking': '1', 'value': '38060'}	{'ranking': '1', 'value': '31407.757'}	{'ranking': '1', 'value': '173138.9615'}	{'ranking': '1', 'value': '178609.1478'}	{'ranking': '1', 'value': '160641.5125'}	{'ranking': '1', 'value': '166800.3927'}	{'ranking': '1', 'value': '172824.3384'}	{'ranking': '1', 'value': '178292.513'}	{'ranking': '1', 'value': '160367.7286'}	{'ranking': '1', 'value': '166228.2207'}	{'ranking': '9', 'value': '212.3554'}	{'ranking': '9', 'value': '230.3022'}	{'ranking': '9', 'value': '178.2331'}	{'ranking': '9', 'value': '460.0743'}	{'ranking': '9', 'value': '211.2928'}	{'ranking': '9', 'value': '229.1465'}	{'ranking': '9', 'value': '177.4279'}	{'ranking': '3', 'value': '455.1474'}	{'ranking': '9', 'value': '3.119'}	{'ranking': '9', 'value': '3.2144'}	{'ranking': '9', 'value': '2.8859'}	{'ranking': '9', 'value': '3.6856'}	{'ranking': '9', 'value': '3.1132'}	{'ranking': '9', 'value': '3.2086'}	{'ranking': '9', 'value': '2.8808'}	{'ranking': '3', 'value': '3.6729'}
economics_4	economics	coste|NOUN	601.8169857829096	6.1294304904202646	freq_key	{'ranking': '20.5', 'value': '0.7083'}	{'ranking': '7', 'value': '6480'}	{'ranking': '6', 'value': '4460.0456'}	{'ranking': '4', 'value': '27519.0375'}	{'ranking': '4', 'value': '28420.2578'}	{'ranking': '4', 'value': '25342.5157'}	{'ranking': '4', 'value': '21572.642'}	{'ranking': '4', 'value': '27466.3409'}	{'ranking': '4', 'value': '28367.4527'}	{'ranking': '4', 'value': '25296.889'}	{'ranking': '4', 'value': '21494.246'}	{'ranking': '17', 'value': '98.2433'}	{'ranking': '17', 'value': '106.0941'}	{'ranking': '17', 'value': '81.5739'}	{'ranking': '16', 'value': '128.0107'}	{'ranking': '17', 'value': '97.6798'}	{'ranking': '17', 'value': '105.4865'}	{'ranking': '17', 'value': '81.1502'}	{'ranking': '11', 'value': '126.5815'}	{'ranking': '17', 'value': '2.7579'}	{'ranking': '17', 'value': '2.8477'}	{'ranking': '17', 'value': '2.5385'}	{'ranking': '16', 'value': '3.1132'}	{'ranking': '17', 'value': '2.7518'}	{'ranking': '17', 'value': '2.8416'}	{'ranking': '17', 'value': '2.5332'}	{'ranking': '11', 'value': '3.1007'}
economics_5	economics	inversión|NOUN	1045.4712668145391	10.061840567956278	freq_key	{'ranking': '3.5', 'value': '0.9583'}	{'ranking': '3', 'value': '11257'}	{'ranking': '3', 'value': '8263.0071'}	{'ranking': '3', 'value': '48117.9978'}	{'ranking': '3', 'value': '49691.0215'}	{'ranking': '3', 'value': '44350.591'}	{'ranking': '3', 'value': '40604.8652'}	{'ranking': '3', 'value': '48026.0644'}	{'ranking': '3', 'value': '49598.7708'}	{'ranking': '3', 'value': '44271.07'}	{'ranking': '3', 'value': '40458.0563'}	{'ranking': '16', 'value': '104.0123'}	{'ranking': '16', 'value': '112.3957'}	{'ranking': '16', 'value': '86.5028'}	{'ranking': '15', 'value': '149.0189'}	{'ranking': '16', 'value': '103.4649'}	{'ranking': '16', 'value': '111.8048'}	{'ranking': '16', 'value': '86.0939'}	{'ranking': '10', 'value': '147.4371'}	{'ranking': '16', 'value': '2.7909'}	{'ranking': '16', 'value': '2.8813'}	{'ranking': '16', 'value': '2.5702'}	{'ranking': '15', 'value': '3.2083'}	{'ranking': '16', 'value': '2.7851'}	{'ranking': '16', 'value': '2.8755'}	{'ranking': '16', 'value': '2.5652'}	{'ranking': '10', 'value': '3.196'}
economics_6	economics	pago|NOUN	423.77946082213214	18.482327364419262	freq_key	{'ranking': '23.5', 'value': '0.6667'}	{'ranking': '12', 'value': '4563'}	{'ranking': '12', 'value': '2694.8851'}	{'ranking': '5', 'value': '14509.18'}	{'ranking': '5', 'value': '15122.0619'}	{'ranking': '5', 'value': '13030.7566'}	{'ranking': '6', 'value': '9320.6885'}	{'ranking': '5', 'value': '14475.2035'}	{'ranking': '5', 'value': '15087.9645'}	{'ranking': '5', 'value': '13001.7337'}	{'ranking': '6', 'value': '9277.259'}	{'ranking': '47', 'value': '22.9382'}	{'ranking': '47', 'value': '24.7645'}	{'ranking': '47', 'value': '19.0327'}	{'ranking': '31', 'value': '23.7053'}	{'ranking': '47', 'value': '22.8294'}	{'ranking': '47', 'value': '24.6472'}	{'ranking': '47', 'value': '18.9528'}	{'ranking': '31', 'value': '23.4749'}	{'ranking': '47', 'value': '1.5561'}	{'ranking': '47', 'value': '1.6216'}	{'ranking': '47', 'value': '1.3969'}	{'ranking': '31', 'value': '1.5147'}	{'ranking': '47', 'value': '1.552'}	{'ranking': '47', 'value': '1.6175'}	{'ranking': '47', 'value': '1.3934'}	{'ranking': '31', 'value': '1.507'}
economics_7	economics	final|NOUN	424.243825780298	284.33889475853334	freq_key	{'ranking': '64', 'value': '0.25'}	{'ranking': '11', 'value': '4568'}	{'ranking': '10', 'value': '3219.936'}	{'ranking': '83', 'value': '581.434'}	{'ranking': '68', 'value': '808.1111'}	{'ranking': '88', 'value': '171.4368'}	{'ranking': '33', 'value': '550.8388'}	{'ranking': '84', 'value': '569.6761'}	{'ranking': '72', 'value': '794.5727'}	{'ranking': '88', 'value': '165.5944'}	{'ranking': '33', 'value': '530.4131'}	{'ranking': '100', 'value': '1.4922'}	{'ranking': '100', 'value': '1.6105'}	{'ranking': '100', 'value': '1.2367'}	{'ranking': '85', 'value': '1.5886'}	{'ranking': '100', 'value': '1.4858'}	{'ranking': '100', 'value': '1.6036'}	{'ranking': '100', 'value': '1.232'}	{'ranking': '85', 'value': '1.5739'}	{'ranking': '100', 'value': '0.0111'}	{'ranking': '100', 'value': '0.0154'}	{'ranking': '100', 'value': '0.0033'}	{'ranking': '85', 'value': '0.0116'}	{'ranking': '100', 'value': '0.0109'}	{'ranking': '100', 'value': '0.0151'}	{'ranking': '100', 'value': '0.0032'}	{'ranking': '85', 'value': '0.0112'}
economics_8	economics	línea|NOUN	447.92643864675506	142.54131659312063	freq_key	{'ranking': '156.5', 'value': '-0.4583'}	{'ranking': '10', 'value': '4823'}	{'ranking': '11', 'value': '3027.9062'}	{'ranking': '21', 'value': '3908.1931'}	{'ranking': '19', 'value': '4376.8641'}	{'ranking': '22', 'value': '2839.7666'}	{'ranking': '15', 'value': '2533.1506'}	{'ranking': '21', 'value': '3882.6753'}	{'ranking': '19', 'value': '4350.4419'}	{'ranking': '22', 'value': '2819.9409'}	{'ranking': '15', 'value': '2498.059'}	{'ranking': '81', 'value': '3.1434'}	{'ranking': '81', 'value': '3.3932'}	{'ranking': '81', 'value': '2.6069'}	{'ranking': '71', 'value': '3.1352'}	{'ranking': '81', 'value': '3.1297'}	{'ranking': '81', 'value': '3.3785'}	{'ranking': '81', 'value': '2.597'}	{'ranking': '71', 'value': '3.1062'}	{'ranking': '81', 'value': '0.1311'}	{'ranking': '81', 'value': '0.1468'}	{'ranking': '81', 'value': '0.0952'}	{'ranking': '71', 'value': '0.1024'}	{'ranking': '81', 'value': '0.1302'}	{'ranking': '81', 'value': '0.1459'}	{'ranking': '81', 'value': '0.0945'}	{'ranking': '71', 'value': '0.101'}
economics_9	economics	crisis|NOUN	330.0706122642686	19.88431704423645	freq_key	{'ranking': '20.5', 'value': '0.7083'}	{'ranking': '14', 'value': '3554'}	{'ranking': '14', 'value': '2126.553'}	{'ranking': '7', 'value': '10099.2038'}	{'ranking': '7', 'value': '10568.158'}	{'ranking': '7', 'value': '8968.7843'}	{'ranking': '8', 'value': '6550.4659'}	{'ranking': '7', 'value': '10073.8728'}	{'ranking': '7', 'value': '10542.7292'}	{'ranking': '7', 'value': '8947.2694'}	{'ranking': '8', 'value': '6517.5019'}	{'ranking': '51', 'value': '16.6047'}	{'ranking': '51', 'value': '17.9242'}	{'ranking': '51', 'value': '13.7727'}	{'ranking': '34', 'value': '17.1949'}	{'ranking': '51', 'value': '16.5275'}	{'ranking': '51', 'value': '17.8411'}	{'ranking': '51', 'value': '13.7163'}	{'ranking': '34', 'value': '17.0304'}	{'ranking': '51', 'value': '1.2388'}	{'ranking': '51', 'value': '1.2962'}	{'ranking': '51', 'value': '1.0998'}	{'ranking': '34', 'value': '1.1749'}	{'ranking': '51', 'value': '1.2353'}	{'ranking': '51', 'value': '1.2926'}	{'ranking': '51', 'value': '1.0967'}	{'ranking': '34', 'value': '1.1684'}
economics_10	economics	director|NOUN	469.844464672182	73.7668838240397	freq_key	{'ranking': '39.5', 'value': '0.4583'}	{'ranking': '9', 'value': '5059'}	{'ranking': '9', 'value': '3324.3982'}	{'ranking': '9', 'value': '8514.4777'}	{'ranking': '9', 'value': '9116.5522'}	{'ranking': '9', 'value': '7089.6385'}	{'ranking': '7', 'value': '6947.8705'}	{'ranking': '9', 'value': '8481.4624'}	{'ranking': '9', 'value': '9083.0543'}	{'ranking': '9', 'value': '7062.3351'}	{'ranking': '7', 'value': '6898.4017'}	{'ranking': '73', 'value': '6.3718'}	{'ranking': '73', 'value': '6.8791'}	{'ranking': '73', 'value': '5.2865'}	{'ranking': '56', 'value': '8.0828'}	{'ranking': '73', 'value': '6.3437'}	{'ranking': '73', 'value': '6.8488'}	{'ranking': '73', 'value': '5.266'}	{'ranking': '57', 'value': '8.0069'}	{'ranking': '73', 'value': '0.4486'}	{'ranking': '73', 'value': '0.4802'}	{'ranking': '73', 'value': '0.3733'}	{'ranking': '57', 'value': '0.5201'}	{'ranking': '73', 'value': '0.4468'}	{'ranking': '73', 'value': '0.4784'}	{'ranking': '73', 'value': '0.3718'}	{'ranking': '57', 'value': '0.5163'}
